阿魏,a'wei
胃津,wei'jin
苇茎汤,wei'jing'tang
苇茎汤方出干金,wei'jing'tang'fang'chu'gan'jin
胃康胶囊,wei'kang'jiao'nang
胃咳,wei'ke
煨柯子,wei'ke'zi
味苦性寒能凉血,wei'ku'xing'han'neng'liang'xue
胃乐宁片,wei'le'ning'pian
胃乐新胶囊,wei'le'xin'jiao'nang
胃力康颗粒,wei'li'kang'ke'li
委陵菜,wei'ling'cai
胃灵颗粒,wei'ling'ke'li
胃苓汤,wei'ling'tang
威灵仙,wei'ling'xian
胃络痛,wei'luo'tong
卫茅,wei'mao
胃痞,wei'pi
胃痞病,wei'pi'bing
未破损期,wei'po'sun'qi
卫气,wei'qi
胃气,wei'qi
卫气不固,wei'qi'bu'gu
胃气不和证,wei'qi'bu'he'zheng
胃气不足,wei'qi'bu'zu
胃气上逆,wei'qi'shang'ni
胃气上逆证,wei'qi'shang'ni'zheng
胃气失和证,wei'qi'shi'he'zheng
卫气同病,wei'qi'tong'bing
卫气同病痰热蕴肺证,wei'qi'tong'bing'tan're'yun'fei'zheng
卫气同病证,wei'qi'tong'bing'zheng
胃气虚,wei'qi'xu
胃气虚败证,wei'qi'xu'bai'zheng
胃气虚寒,wei'qi'xu'han
胃气虚证,wei'qi'xu'zheng
卫气营血,wei'qi'ying'xue
卫气营血辨证,wei'qi'ying'xue'bian'zheng
胃热,wei're
胃热炽盛证,wei're'chi'sheng'zheng
胃热津亏证,wei're'jin'kui'zheng
胃热薰蒸证,wei're'xun'zheng'zheng
胃热阴虚证,wei're'yin'xu'zheng
胃热壅盛证,wei're'yong'sheng'zheng
胃热证,wei're'zheng
胃热滞脾证,wei're'zhi'pi'zheng
胃热灼阴证,wei're'zhuo'yin'zheng
煨肉豆蔻,wei'rou'dou'kou
痿软舌,wei'ruan'she
胃实,wei'shi
胃石,wei'shi
胃苏冲剂,wei'su'chong'ji
谓天下无双,wei'tian'xia'wu'shuang
卫外失固风邪中络证,wei'wai'shi'gu'feng'xie'zhong'luo'zheng
胃脘痛,wei'wan'tong
胃喜润恶燥,wei'xi'run'e'zao
胃虚,wei'xu
胃虚气逆痞证,wei'xu'qi'ni'pi'zheng
胃疡,wei'yang
胃阳,wei'yang
胃阳不足饮停证,wei'yang'bu'zu'yin'ting'zheng
胃阳虚,wei'yang'xu
胃阴,wei'yin
胃饮,wei'yin
胃阴不足证,wei'yin'bu'zu'zheng
胃阴亏虚证,wei'yin'kui'xu'zheng
胃阴虚,wei'yin'xu
胃阴虚证,wei'yin'xu'zheng
卫营同病证,wei'ying'tong'bing'zheng
唯用心精微者,wei'yong'xin'jing'wei'zhe
胃燥津伤证,wei'zao'jin'shang'zheng
胃燥血虚证,wei'zao'xue'xu'zheng
胃胀,wei'zhang
痿证,wei'zheng
胃汁,wei'zhi
胃中寒冷证,wei'zhong'han'leng'zheng
胃中积热证,wei'zhong'ji're'zheng
胃中虚,wei'zhong'xu
胃中蕴热证,wei'zhong'yun're'zheng
胃主腐热,wei'zhu'fu're
胃主受纳,wei'zhu'shou'na
桅子,wei'zi
温病,wen'bing
温病条辨,wen'bing'tiao'bian
温病证候,wen'bing'zheng'hou
文痴,wen'chi
文旦皮,wen'dan'pi
温胆汤,wen'dan'tang
温胆汤中苓半草,wen'dan'tang'zhong'ling'ban'cao
温毒,wen'du
温毒发斑,wen'du'fa'ban
温毒喉痹,wen'du'hou'bi
温毒袭表证,wen'du'xi'biao'zheng
瘟毒下注证,wen'du'xia'zhu'zheng
温毒在表证,wen'du'zai'biao'zheng
温法,wen'fa
温肺化饮,wen'fei'hua'yin
温粉,wen'fen
温服,wen'fu
文蛤,wen'ge
文冠木,wen'guan'mu
温经散寒,wen'jing'san'han
温经汤,wen'jing'tang
温开,wen'kai
温脾,wen'pi
温脾汤,wen'pi'tang
温热,wen're
温热浸淫证,wen're'jin'yin'zheng
温热经纬,wen're'jing'wei
温热酿痰蒙蔽心包证,wen're'niang'tan'meng'bi'xin'bao'zheng
温热未盛,wen're'wei'sheng
温热下注扰动精室证,wen're'xia'zhu'rao'dong'jing'shi'zheng
温肾,wen'shen
温肾暖脾,wen'shen'nuan'pi
温通,wen'tong
温下,wen'xia
温邪,wen'xie
温邪内陷证,wen'xie'nei'xian'zheng
温邪侵袭肺卫证,wen'xie'qin'xi'fei'wei'zheng
温心,wen'xin
稳心颗粒,wen'xin'ke'li
温血,wen'xue
温养,wen'yang
温阳,wen'yang
温阳化气,wen'yang'hua'qi
温阳化气添桂枝,wen'yang'hua'qi'tian'gui'zhi
温阳救逆,wen'yang'jiu'ni
温疫,wen'yi
温郁金,wen'yu'jin
文元,wen'yuan
温燥病,wen'zao'bing
问诊,wen'zhen
闻诊,wen'zhen
温中补虚,wen'zhong'bu'xu
温中散寒,wen'zhong'san'han
翁沥通胶囊,weng'li'tong'jiao'nang
窝疮病,wo'chuang'bing
窝痈病,wo'yong'bing
五倍子,wu'bei'zi
勿避险巇,wu'bi'xian'xi
五迟,wu'chi
武痴,wu'chi
五迟五软病,wu'chi'wu'ruan'bing
无得参差,wu'de'cen'ci
无得似有所娱,wu'de'si'you'suo'yu
五恶,wu'e
五更肾泄最相宜,wu'geng'shen'xie'zui'xiang'yi
五更泻,wu'geng'xie
五更泄泻,wu'geng'xie'xie
蜈蚣,wu'gong
五谷,wu'gu
乌骨鸡,wu'gu'ji
五官,wu'guan
无汗,wu'han
午后潮热,wu'hou'chao're
午后身热,wu'hou'shen're
无花果,wu'hua'guo
无患子,wu'huan'zi
乌鸡白凤丸,wu'ji'bai'feng'wan
戊己丸,wu'ji'wan
五加皮,wu'jia'pi
五加生化胶囊,wu'jia'sheng'hua'jiao'nang
吾见其死矣,wu'jian'qi'si'yi
吾今此方所以不用生命为药者,wu'jin'ci'fang'suo'yi'bu'yong'sheng'ming'wei'yao'zhe
乌桕,wu'jiu
乌韭,wu'jiu
五决,wu'jue
乌蔹莓,wu'lian'mei
五敛子,wu'lian'zi
五淋,wu'lin
五淋散,wu'lin'san
乌灵胶囊,wu'ling'jiao'nang
五苓散,wu'ling'san
五苓散治太阳府,wu'ling'san'zhi'tai'yang'fu
五灵脂,wu'ling'zhi
五灵脂炒,wu'ling'zhi'chao
无漏子,wu'lou'zi
五轮,wu'lun
五脉,wu'mai
乌梅,wu'mei
乌梅丸,wu'mei'wan
无名土,wu'ming'tu
无名异,wu'ming'yi
无名子,wu'ming'zi
五皮散,wu'pi'san
乌茜,wu'qian
五禽之戏,wu'qin'zhi'xi
物情同患,wu'qing'tong'huan
五仁丸,wu'ren'wan
五入,wu'ru
五色,wu'se
乌梢蛇,wu'shao'she
无时冷泪病,wu'shi'leng'lei'bing
五水,wu'shui
物损真睛病,wu'sun'zhen'jing'bing
乌头,wu'tou
乌头碱,wu'tou'jian
无头疽病,wu'tou'ju'bing
乌头汤,wu'tou'tang
五味,wu'wei
五味消毒饮,wu'wei'xiao'du'yin
五味子,wu'wei'zi
五心,wu'xin
五心烦热,wu'xin'fan're
五行,wu'xing
五眼果,wu'yan'guo
乌药,wu'yao
五药,wu'yao
五液,wu'ye
芜荑,wu'yi
五硬病,wu'ying'bing
无欲无求,wu'yu'wu'qiu
五脏,wu'zang
五脏六腑,wu'zang'liu'fu
乌贼骨,wu'zei'gu
五指柑,wu'zhi'gan
五指毛桃,wu'zhi'mao'tao
五中,wu'zhong
五主,wu'zhu
吴茱萸,wu'zhu'yu
吴茱萸汤,wu'zhu'yu'tang
吴茱萸汤人参枣,wu'zhu'yu'tang'ren'shen'zao
吴茱萸吴萸,wu'zhu'yu'wu'yu
五子衍宗丸,wu'zi'yan'zong'wan
勿左右顾盼,wu'zuo'you'gu'pan
膝痹,xi'bi
西党参,xi'dang'shen
熄风,xi'feng
西瓜,xi'gua
西瓜皮,xi'gua'pi
西瓜霜,xi'gua'shuang
西瓜霜润喉片,xi'gua'shuang'run'hou'pian
西河柳,xi'he'liu
西红花,xi'hong'hua
溪黄草,xi'huang'cao
犀黄丸,xi'huang'wan
西黄丸,xi'huang'wan
犀角,xi'jiao
犀角地黄芍药丹,xi'jiao'di'huang'shao'yao'dan
犀角地黄汤,xi'jiao'di'huang'tang
犀角玄翘知芍桔,xi'jiao'xuan'qiao'zhi'shao'ju
吸门,xi'men
西羌,xi'qiang
西青果,xi'qing'guo
息肉痔病,xi'rou'zhi'bing
细涩,xi'se
喜树,xi'shu
稀莶草,xi'xian'cao
豨莶草,xi'xian'cao
细辛,xi'xin
西洋参,xi'yang'shen
西洋参大剪口,xi'yang'shen'da'jian'kou
西洋参锦隆堂,xi'yang'shen'jin'long'tang
夏季热,xia'ji're
夏季热病,xia'ji're'bing
下焦病,xia'jiao'bing
下焦滑脱证,xia'jiao'hua'tuo'zheng
下焦热盛证,xia'jiao're'sheng'zheng
下焦湿热证,xia'jiao'shi're'zheng
下焦虚冷证,xia'jiao'xu'leng'zheng
下焦蓄血瘀阴膀胱证,xia'jiao'xu'xue'yu'yin'pang'guang'zheng
下焦蓄血证,xia'jiao'xu'xue'zheng
下焦瘀滞证,xia'jiao'yu'zhi'zheng
夏枯草,xia'ku'cao
下痢脓血,xia'li'nong'xue
下利清谷,xia'li'qing'gu
下利清水,xia'li'qing'shui
下迫,xia'po
下窍,xia'qiao
夏曲白芷加姜枣,xia'qu'bai'zhi'jia'jiang'zao
夏天无,xia'tian'wu
下阴,xia'yin
侠瘿瘅,xia'ying'dan
下淤血汤,xia'yu'xue'tang
下元亏损,xia'yuan'kui'sun
下元虚寒肾气不足证,xia'yuan'xu'han'shen'qi'bu'zu'zheng
下元虚寒证,xia'yuan'xu'han'zheng
下元虚弱,xia'yuan'xu'ruo
仙半夏,xian'ban'xia
痫病,xian'bing
先发大慈恻隐之心,xian'fa'da'ci'ce'yin'zhi'xin
仙方活命饮,xian'fang'huo'ming'yin
纤毫勿失,xian'hao'wu'shi
仙鹤草,xian'he'cao
弦滑,xian'hua
弦紧,xian'jin
仙灵骨葆胶囊,xian'ling'gu'bao'jiao'nang
仙灵脾,xian'ling'pi
仙茅,xian'mao
仙人掌,xian'ren'zhang
仙授理伤续断秘方,xian'shou'li'shang'xu'duan'mi'fang
仙桃草,xian'tao'cao
先天不足证,xian'tian'bu'zu'zheng
先天遗毒证,xian'tian'yi'du'zheng
仙遗粮,xian'yi'liang
痫证,xian'zheng
鲜竹沥,xian'zhu'li
香白芷,xiang'bai'zhi
象贝,xiang'bei
项背强几几,xiang'bei'qiang'ji'ji
项痹,xiang'bi
香茶菜,xiang'cha'cai
详察形候,xiang'cha'xing'hou
相乘,xiang'cheng
香附,xiang'fu
相府之官,xiang'fu'zhi'guan
香菇菌多糖片,xiang'gu'jun'duo'tang'pian
香果脂,xiang'guo'zhi
相火炽盛证,xiang'huo'chi'sheng'zheng
相火上炎证,xiang'huo'shang'yan'zheng
相火妄动,xiang'huo'wang'dong
香加皮,xiang'jia'pi
相兼脉,xiang'jian'mai
相克,xiang'ke
香连丸,xiang'lian'wan
象皮,xiang'pi
向前,xiang'qian
项强,xiang'qiang
香茹,xiang'ru
香薷,xiang'ru
香薷散,xiang'ru'san
香砂六君丸,xiang'sha'liu'jun'wan
香砂六君子汤,xiang'sha'liu'jun'zi'tang
相生,xiang'sheng
香嵩,xiang'song
向天盏,xiang'tian'zhan
相侮,xiang'wu
象牙,xiang'ya
香橼,xiang'yuan
小百科,xiao'bai'ke
小半夏汤,xiao'ban'xia'tang
小便不禁,xiao'bian'bu'jin
小便不利,xiao'bian'bu'li
小便赤涩刺痛,xiao'bian'chi'se'ci'tong
小便短赤,xiao'bian'duan'chi
小便短少黄赤,xiao'bian'duan'shao'huang'chi
小便淋沥,xiao'bian'lin'li
小便淋浊,xiao'bian'lin'zhuo
小便频数,xiao'bian'pin'shuo
小便涩滞,xiao'bian'se'zhi
哮病,xiao'bing
小驳骨,xiao'bo'gu
小柴胡汤,xiao'chai'hu'tang
小柴胡汤和解供,xiao'chai'hu'tang'he'jie'gong
小产病,xiao'chan'bing
小肠,xiao'chang
小肠瘅,xiao'chang'dan
小肠气痛,xiao'chang'qi'tong
小肠气滞证,xiao'chang'qi'zhi'zheng
小肠实热,xiao'chang'shi're
小肠虚寒,xiao'chang'xu'han
小肠虚寒证,xiao'chang'xu'han'zheng
小肠主受盛,xiao'chang'zhu'shou'sheng
小肠主液,xiao'chang'zhu'ye
小承气汤,xiao'cheng'qi'tang
哮喘,xiao'chuan
哮喘病,xiao'chuan'bing
小春花,xiao'chun'hua
消导,xiao'dao
消疔肿,xiao'ding'zhong
小儿定风丸,xiao'er'ding'feng'wan
小儿肺气虚弱证,xiao'er'fei'qi'xu'ruo'zheng
小儿肺热炽盛证,xiao'er'fei're'chi'sheng'zheng
小儿风寒束表证,xiao'er'feng'han'shu'biao'zheng
小儿风温束表证,xiao'er'feng'wen'shu'biao'zheng
小儿腹痛病,xiao'er'fu'tong'bing
小儿感冒病,xiao'er'gan'mao'bing
小儿汗病,xiao'er'han'bing
小儿咳嗽病,xiao'er'ke'sou'bing
小儿口疮病,xiao'er'kou'chuang'bing
小儿内热炽盛证,xiao'er'nei're'chi'sheng'zheng
小儿呕吐病,xiao'er'ou'tu'bing
小儿脾胃食滞证,xiao'er'pi'wei'shi'zhi'zheng
小儿脾胃虚寒证,xiao'er'pi'wei'xu'han'zheng
小儿脾胃虚弱证,xiao'er'pi'wei'xu'ruo'zheng
小儿脾虚生风证,xiao'er'pi'xu'sheng'feng'zheng
小儿热极生风证,xiao'er're'ji'sheng'feng'zheng
小儿乳蛾病,xiao'er'ru'e'bing
小儿肾气虚弱证,xiao'er'shen'qi'xu'ruo'zheng
小儿水肿病,xiao'er'shui'zhong'bing
小儿痰热蒙闭心窍证,xiao'er'tan're'meng'bi'xin'qiao'zheng
小儿脱肛病,xiao'er'tuo'gang'bing
小儿痿病,xiao'er'wei'bing
小儿胃火上炎证,xiao'er'wei'huo'shang'yan'zheng
小儿痫病,xiao'er'xian'bing
小儿泄泻病,xiao'er'xie'xie'bing
小儿心经实热证,xiao'er'xin'jing'shi're'zheng
小儿药证直诀,xiao'er'yao'zheng'zhi'jue
小儿疫毒痢病,xiao'er'yi'du'li'bing
小儿遗尿病,xiao'er'yi'niao'bing
小儿元气虚弱证,xiao'er'yuan'qi'xu'ruo'zheng
小儿紫癜病,xiao'er'zi'dian'bing
消法,xiao'fa
小飞扬,xiao'fei'yang
小飞扬草,xiao'fei'yang'cao
消风散,xiao'feng'san
小腹急满,xiao'fu'ji'man
消谷善饥,xiao'gu'shan'ji
小红莲,xiao'hong'lian
小红参,xiao'hong'shen
小胡麻,xiao'hu'ma
小黄药,xiao'huang'yao
小茴香,xiao'hui'xiang
小活络丹,xiao'huo'luo'dan
小蓟,xiao'ji
消积,xiao'ji
小蓟草,xiao'ji'cao
小蓟炭,xiao'ji'tan
小蓟饮子,xiao'ji'yin'zi
小蓟饮子藕蒲黄,xiao'ji'yin'zi'ou'pu'huang
小建中汤,xiao'jian'zhong'tang
小结胸证,xiao'jie'xiong'zheng
小金丹,xiao'jin'dan
小金丸,xiao'jin'wan
消渴,xiao'ke
消渴病,xiao'ke'bing
消渴厥,xiao'ke'jue
消渴康颗粒,xiao'ke'kang'ke'li
消渴丸,xiao'ke'wan
小兰花,xiao'lan'hua
小麦,xiao'mai
消满,xiao'man
小蘖,xiao'nie
消痞,xiao'pi
消痞散结,xiao'pi'san'jie
小青草,xiao'qing'cao
小青龙汤,xiao'qing'long'tang
小青龙汤最有功,xiao'qing'long'tang'zui'you'gong
小青皮,xiao'qing'pi
消食和胃效堪夸,xiao'shi'he'wei'xiao'kan'kua
消食化滞,xiao'shi'hua'zhi
小石韦,xiao'shi'wei
消栓颗粒,xiao'shuan'ke'li
消栓通络片,xiao'shuan'tong'luo'pian
消水,xiao'shui
消痰,xiao'tan
小通草,xiao'tong'cao
消痛贴膏,xiao'tong'tie'gao
小陷胸汤,xiao'xian'xiong'tang
消炎利胆片,xiao'yan'li'dan'pian
逍遥散,xiao'yao'san
逍遥散用当归芍,xiao'yao'san'yong'dang'gui'shao
逍遥散用归芍柴,xiao'yao'san'yong'gui'shao'chai
逍遥丸,xiao'yao'wan
小野鸡尾,xiao'ye'ji'wei
小叶朴,xiao'ye'pu
消痈,xiao'yong
消瘀,xiao'yu
消胀,xiao'zhang
消症益肝片,xiao'zheng'yi'gan'pian
薤白,xie'bai
泻白散,xie'bai'san
泻白桑皮地骨皮,xie'bai'sang'pi'di'gu'pi
薤白野白头,xie'bai'ye'bai'tou
邪不可干,xie'bu'ke'gan
缬草,xie'cao
邪窜肝经证,xie'cuan'gan'jing'zheng
邪窜经络证,xie'cuan'jing'luo'zheng
邪毒传里肺胃热盛证,xie'du'chuan'li'fei'wei're'sheng'zheng
邪毒久留气滞血瘀证,xie'du'jiu'liu'qi'zhi'xue'yu'zheng
邪毒久留证,xie'du'jiu'liu'zheng
邪毒内扰证,xie'du'nei'rao'zheng
邪毒内陷心肝证,xie'du'nei'xian'xin'gan'zheng
邪毒内陷证,xie'du'nei'xian'zheng
邪毒热证,xie'du're'zheng
邪毒入营证,xie'du'ru'ying'zheng
邪毒引睾窜腹证,xie'du'yin'gao'cuan'fu'zheng
邪毒壅塞证,xie'du'yong'se'zheng
邪毒在表证,xie'du'zai'biao'zheng
邪毒滞留气血瘀阻证,xie'du'zhi'liu'qi'xue'yu'zu'zheng
邪遏卫气证,xie'e'wei'qi'zheng
邪犯肺胃证,xie'fan'fei'wei'zheng
邪犯肝脾证,xie'fan'gan'pi'zheng
邪犯厥阴证,xie'fan'jue'yin'zheng
邪犯心肝证,xie'fan'xin'gan'zheng
邪犯胸肺证,xie'fan'xiong'fei'zheng
邪犯脏腑证,xie'fan'zang'fu'zheng
邪伏膜原证,xie'fu'mo'yuan'zheng
泻黄散,xie'huang'san
泻火,xie'huo
邪结肠腑证,xie'jie'chang'fu'zheng
蟹睛病,xie'jing'bing
蟹壳,xie'ke
胁肋痛,xie'lei'tong
胁肋胀闷,xie'lei'zhang'men
泄利,xie'li
泄利下重,xie'li'xia'zhong
邪恋阴伤证,xie'lian'yin'shang'zheng
邪留三焦,xie'liu'san'jiao
邪留阴分证,xie'liu'yin'fen'zheng
邪留营分证,xie'liu'ying'fen'zheng
邪气,xie'qi
邪气盛则实,xie'qi'sheng'ze'shi
邪气阻闭证,xie'qi'zu'bi'zheng
邪侵肺卫证,xie'qin'fei'wei'zheng
邪热炽盛证,xie're'chi'sheng'zheng
邪热传里肺胃热盛证,xie're'chuan'li'fei'wei're'sheng'zheng
邪热传里证,xie're'chuan'li'zheng
协热利,xie're'li
邪热留恋证,xie're'liu'lian'zheng
邪热内闭证,xie're'nei'bi'zheng
邪热内扰证,xie're'nei'rao'zheng
邪热内陷证,xie're'nei'xian'zheng
邪热未清阴液亏损证,xie're'wei'qing'yin'ye'kui'sun'zheng
邪热未清证,xie're'wei'qing'zheng
协热下利,xie're'xia'li
协热下利喘汗除,xie're'xia'li'chuan'han'chu
邪热下利证,xie're'xia'li'zheng
邪热壅肺咳喘急,xie're'yong'fei'ke'chuan'ji
邪热壅结证,xie're'yong'jie'zheng
邪热瘀结肌肤证,xie're'yu'jie'ji'fu'zheng
邪热郁蒸证,xie're'yu'zheng'zheng
邪入肺卫证,xie'ru'fei'wei'zheng
邪入气分证,xie'ru'qi'fen'zheng
邪入气营热毒内陷证,xie'ru'qi'ying're'du'nei'xian'zheng
邪入气营热毒内蕴证,xie'ru'qi'ying're'du'nei'yun'zheng
邪入气营证,xie'ru'qi'ying'zheng
邪入少阳证,xie'ru'shao'yang'zheng
邪入卫气证,xie'ru'wei'qi'zheng
邪入血分证,xie'ru'xue'fen'zheng
邪入营分证,xie'ru'ying'fen'zheng
邪入营血证,xie'ru'ying'xue'zheng
血塞通软胶囊,xie'sai'tong'ruan'jiao'nang
邪盛正衰,xie'sheng'zheng'shuai
胁痛,xie'tong
胁痛病,xie'tong'bing
邪袭肺卫证,xie'xi'fei'wei'zheng
泻下,xie'xia
邪陷心包证,xie'xian'xin'bao'zheng
邪陷心肝血热动风证,xie'xian'xin'gan'xue're'dong'feng'zheng
邪陷心肝证,xie'xian'xin'gan'zheng
邪陷正脱证,xie'xian'zheng'tuo'zheng
泄泻,xie'xie
泄泻病,xie'xie'bing
泄泻淋浊,xie'xie'lin'zhuo
泻心,xie'xin
邪壅经络证,xie'yong'jing'luo'zheng
邪郁肺卫证,xie'yu'fei'wei'zheng
邪郁肺胃证,xie'yu'fei'wei'zheng
邪郁化火证,xie'yu'hua'huo'zheng
邪郁化热证,xie'yu'hua're'zheng
邪郁少阳证,xie'yu'shao'yang'zheng
邪郁卫气证,xie'yu'wei'qi'zheng
邪在肺卫证,xie'zai'fei'wei'zheng
邪在气分,xie'zai'qi'fen
邪在气他证,xie'zai'qi'ta'zheng
邪在气营证,xie'zai'qi'ying'zheng
邪在少阳证,xie'zai'shao'yang'zheng
邪在卫气证,xie'zai'wei'qi'zheng
邪在血分证,xie'zai'xue'fen'zheng
邪在营分证,xie'zai'ying'fen'zheng
邪在营血证,xie'zai'ying'xue'zheng
邪正相搏,xie'zheng'xiang'bo
邪注经络证,xie'zhu'jing'luo'zheng
邪阻膜原证,xie'zu'mo'yuan'zheng
蟹足肿病,xie'zu'zhong'bing
囟凹,xin'ao
心包,xin'bao
心包络,xin'bao'luo
心痹,xin'bi
心藏神,xin'cang'shen
心瘅,xin'dan
心胆不宁证,xin'dan'bu'ning'zheng
心胆气虚证,xin'dan'qi'xu'zheng
心动悸,xin'dong'ji
心烦,xin'fan
心烦喜呕,xin'fan'xi'ou
心烦躁扰,xin'fan'zao'rao
心肺风热证,xin'fei'feng're'zheng
心肺气虚证,xin'fei'qi'xu'zheng
心肺热毒证,xin'fei're'du'zheng
心肺阴虚证,xin'fei'yin'xu'zheng
心肺郁热证,xin'fei'yu're'zheng
心肝风火证,xin'gan'feng'huo'zheng
心肝热炽热壅血瘀证,xin'gan're'chi're'yong'xue'yu'zheng
心肝热炽证,xin'gan're'chi'zheng
心肝血虚证,xin'gan'xue'xu'zheng
心肝阴虚证,xin'gan'yin'xu'zheng
新癀片,xin'huang'pian
心火,xin'huo
心火炽盛证,xin'huo'chi'sheng'zheng
心火亢盛证,xin'huo'kang'sheng'zheng
心火偏亢证,xin'huo'pian'kang'zheng
心火上炎,xin'huo'shang'yan
心火上炎证,xin'huo'shang'yan'zheng
心火盛,xin'huo'sheng
心悸,xin'ji
心悸病,xin'ji'bing
心悸失眠,xin'ji'shi'mian
心悸怔忡,xin'ji'zheng'chong
新加黄龙汤,xin'jia'huang'long'tang
新加香薷饮,xin'jia'xiang'ru'yin
心经火热证,xin'jing'huo're'zheng
心经火盛证,xin'jing'huo'sheng'zheng
心经积热证,xin'jing'ji're'zheng
心经实火证,xin'jing'shi'huo'zheng
心经虚火证,xin'jing'xu'huo'zheng
心厥,xin'jue
心可舒胶囊,xin'ke'shu'jiao'nang
辛谅解表,xin'liang'jie'biao
辛凉宣肺清热良,xin'liang'xuan'fei'qing're'liang
心脉痹阻证,xin'mai'bi'zu'zheng
心脉搏痹阻证,xin'mai'bo'bi'zu'zheng
心脉搏瘀阻证,xin'mai'bo'yu'zu'zheng
心脉通片,xin'mai'tong'pian
囟门不合,xin'men'bu'he
心脑康胶囊,xin'nao'kang'jiao'nang
心脾风热证,xin'pi'feng're'zheng
心脾火炽证,xin'pi'huo'chi'zheng
心脾火郁证,xin'pi'huo'yu'zheng
心脾积热循经上炎证,xin'pi'ji're'xun'jing'shang'yan'zheng
心脾积热证,xin'pi'ji're'zheng
心脾亏虚证,xin'pi'kui'xu'zheng
心脾两虚,xin'pi'liang'xu
心脾两虚虚风动越证,xin'pi'liang'xu'xu'feng'dong'yue'zheng
心脾两虚证,xin'pi'liang'xu'zheng
心脾气虚证,xin'pi'qi'xu'zheng
心脾气血两虚证,xin'pi'qi'xue'liang'xu'zheng
心脾湿热证,xin'pi'shi're'zheng
心脾受损证,xin'pi'shou'sun'zheng
心脾血虚证,xin'pi'xue'xu'zheng
心脾郁热证,xin'pi'yu're'zheng
心气不足证,xin'qi'bu'zu'zheng
心气亏虚证,xin'qi'kui'xu'zheng
心气虚,xin'qi'xu
心气虚证,xin'qi'xu'zheng
心气血两虚证,xin'qi'xue'liang'xu'zheng
心气阴两虚证,xin'qi'yin'liang'xu'zheng
信前期,xin'qian'qi
心热,xin're
心热移于小肠,xin're'yi'yu'xiao'chang
心神不安,xin'shen'bu'an
心肾不交,xin'shen'bu'jiao
心肾不交证,xin'shen'bu'jiao'zheng
心神不宁证,xin'shen'bu'ning'zheng
心神惑乱证,xin'shen'huo'luan'zheng
心肾亏虚证,xin'shen'kui'xu'zheng
心肾气虚证,xin'shen'qi'xu'zheng
心肾阳衰,xin'shen'yang'shuai
心肾阳虚证,xin'shen'yang'xu'zheng
心肾阴虚证,xin'shen'yin'xu'zheng
心生血,xin'sheng'xue
信石,xin'shi
心舒宝片,xin'shu'bao'pian
心衰,xin'shuai
心衰病,xin'shuai'bing
心痛,xin'tong
心通口服液,xin'tong'kou'fu'ye
囟凸,xin'tu
心胃火盛证,xin'wei'huo'sheng'zheng
辛温解表,xin'wen'jie'biao
辛夏甘草和五味,xin'xia'gan'cao'he'wu'wei
心下急,xin'xia'ji
心下满,xin'xia'man
心下满痛,xin'xia'man'tong
心下逆满,xin'xia'ni'man
心下痞,xin'xia'pi
心下痞满,xin'xia'pi'man
心下痞硬,xin'xia'pi'ying
心下硬满,xin'xia'ying'man
心胸烦热,xin'xiong'fan're
心虚胆怯,xin'xu'dan'qie
心虚胆怯证,xin'xu'dan'qie'zheng
心虚惊悸,xin'xu'jing'ji
心虚血少证,xin'xu'xue'shao'zheng
心血不足,xin'xue'bu'zu
心血不足证,xin'xue'bu'zu'zheng
心血亏虚证,xin'xue'kui'xu'zheng
心血宁片,xin'xue'ning'pian
心血虚,xin'xue'xu
心血虚证,xin'xue'xu'zheng
心血瘀阻,xin'xue'yu'zu
心血瘀阻证,xin'xue'yu'zu'zheng
心阳暴脱证,xin'yang'bao'tuo'zheng
心阳不通,xin'yang'bu'tong
心阳不振证,xin'yang'bu'zhen'zheng
心阳不足证,xin'yang'bu'zu'zheng
心阳亏虚证,xin'yang'kui'xu'zheng
心阳虚,xin'yang'xu
心阳虚衰证,xin'yang'xu'shuai'zheng
心阳虚证,xin'yang'xu'zheng
心阳欲脱证,xin'yang'yu'tuo'zheng
辛夷,xin'yi
辛夷花,xin'yi'hua
辛夷望春花,xin'yi'wang'chun'hua
心阴不足证,xin'yin'bu'zu'zheng
心阴亏损证,xin'yin'kui'sun'zheng
心阴亏虚证,xin'yin'kui'xu'zheng
心阴虚,xin'yin'xu
心阴虚证,xin'yin'xu'zheng
心营耗损肝肾不足证,xin'ying'hao'sun'gan'shen'bu'zu'zheng
心营耗损证,xin'ying'hao'sun'zheng
心营亏虚证,xin'ying'kui'xu'zheng
心与小肠相表里,xin'yu'xiao'chang'xiang'biao'li
辛芷薄荷甘草羌,xin'zhi'bo'he'gan'cao'qiang
新制橘皮竹茹汤,xin'zhi'ju'pi'zhu'ru'tang
心中懊憹,xin'zhong'ao'nao
心主汗,xin'zhu'han
心主血脉,xin'zhu'xue'mai
行痹,xing'bi
杏草石膏姜枣藏,xing'cao'shi'gao'jiang'zao'cang
行军散,xing'jun'san
性能,xing'neng
醒脾,xing'pi
行气,xing'qi
行气和胃,xing'qi'he'wei
行气化水,xing'qi'hua'shui
行气降逆,xing'qi'jiang'ni
行气散结,xing'qi'san'jie
行气止痛,xing'qi'zhi'tong
杏仁,xing'ren
杏仁甘草四般施,xing'ren'gan'cao'si'ban'shi
杏苏散,xing'su'san
杏苏散内夏陈前,xing'su'san'nei'xia'chen'qian
性味,xing'wei
行血,xing'xue
兴阳,xing'yang
