阿魏,a'wei
肠道气滞证,chang'dao'qi'zhi'zheng
肠道实热证,chang'dao'shi're'zheng
肠道湿热证,chang'dao'shi're'zheng
常多自利,chang'duo'zi'li
肠风,chang'feng
肠风崩漏总能医,chang'feng'beng'lou'zong'neng'yi
肠风伤络证,chang'feng'shang'luo'zheng
肠结,chang'jie
肠痨,chang'lao
肠瘤,chang'liu
常脉,chang'mai
肠鸣下利,chang'ming'xia'li
肠鸣泄泻腹又痛,chang'ming'xie'xie'fu'you'tong
肠辟,chang'pi
菖蒲,chang'pu
菖蒲半夏焦山栀,chang'pu'ban'xia'jiao'shan'zhi
常山,chang'shan
肠胃康颗粒,chang'wei'kang'ke'li
肠胃实热证,chang'wei'shi're'zheng
肠胃湿热证,chang'wei'shi're'zheng
肠虚滑脱,chang'xu'hua'tuo
肠液亏损,chang'ye'kui'sun
肠痈,chang'yong
肠痈病,chang'yong'bing
肠郁,chang'yu
肠燥便秘,chang'zao'bian'mi
肠燥津伤证,chang'zao'jin'shang'zheng
炒白扁豆,chao'bai'bian'dou
炒白芍,chao'bai'shao
炒白术,chao'bai'zhu
炒扁豆,chao'bian'dou
炒苍耳子,chao'cang'er'zi
炒茺蔚子,chao'chong'wei'zi
炒楮实子,chao'chu'shi'zi
炒川楝子,chao'chuan'lian'zi
炒丹皮,chao'dan'pi
炒稻芽,chao'dao'ya
炒蜂房,chao'feng'fang
炒谷芽,chao'gu'ya
炒瓜蒌子,chao'gua'lou'zi
炒黄柏,chao'huang'bai
炒火麻仁,chao'huo'ma'ren
炒蒺藜,chao'ji'li
炒鸡内金,chao'ji'nei'jin
炒芥子,chao'jie'zi
炒决明子,chao'jue'ming'zi
炒莱菔,chao'lai'fu
炒莱菔子,chao'lai'fu'zi
炒麦芽,chao'mai'ya
炒蔓荆子,chao'man'jing'zi
炒没药,chao'mei'yao
炒米仁,chao'mi'ren
炒南鹤虱,chao'nan'he'shi
炒内金,chao'nei'jin
炒牛蒡子,chao'niu'bang'zi
炒蒲黄,chao'pu'huang
炒牵牛子,chao'qian'niu'zi
炒青葙子,chao'qing'xiang'zi
潮热,chao're
潮热谵语,chao're'zhan'yu
炒乳香,chao'ru'xiang
炒三仙,chao'san'xian
炒三消,chao'san'xiao
炒山桅,chao'shan'wei
炒山楂,chao'shan'zha
炒酸枣仁,chao'suan'zao'ren
朝天罐,chao'tian'guan
炒葶苈子,chao'ting'li'zi
炒王不留行,chao'wang'bu'liu'xing
炒桅子,chao'wei'zi
朝鲜红参别直参,chao'xian'hong'shen'bie'zhi'can
炒栀子,chao'zhi'zi
炒紫苏子,chao'zi'su'zi
车前草,che'qian'cao
车前子,che'qian'zi
尘肺,chen'fei
陈佛手,chen'fo'shou
陈皮,chen'pi
陈皮远志加姜枣,chen'pi'yuan'zhi'jia'jiang'zao
辰砂,chen'sha
陈夏茯苓加碧玉,chen'xia'fu'ling'jia'bi'yu
沉香,chen'xiang
沉香曲,chen'xiang'qu
陈香薷,chen'xiang'ru
沉郁,chen'yu
称钩风,cheng'gou'feng
柽柳,cheng'liu
成脓期,cheng'nong'qi
成熟期,cheng'shu'qi
成痈期,cheng'yong'qi
赤白芍,chi'bai'shao
赤白相兼,chi'bai'xiang'jian
痴呆病,chi'dai'bing
赤多白少,chi'duo'bai'shao
赤茯苓,chi'fu'ling
赤箭,chi'jian
眵泪,chi'lei
赤脉传睛病,chi'mai'chuan'jing'bing
赤膜下垂病,chi'mo'xia'chui'bing
齿衄,chi'nv
齿衄病,chi'nv'bing
赤涩热痛,chi'se're'tong
赤芍,chi'shao
赤石脂,chi'shi'zhi
齿松牙衄,chi'song'ya'nv
赤小豆,chi'xiao'dou
赤药,chi'yao
齿印舌,chi'yin'she
赤游丹病,chi'you'dan'bing
瘈疭,chi'zong
虫白蜡,chong'bai'la
虫百腊,chong'bai'la
虫病钩虫病,chong'bing'gou'chong'bing
虫病蛔虫病,chong'bing'hui'chong'bing
虫病姜片虫病,chong'bing'jiang'pian'chong'bing
虫病囊虫病,chong'bing'nang'chong'bing
虫病蛲虫病,chong'bing'nao'chong'bing
虫病丝虫病,chong'bing'si'chong'bing
虫病绦虫病,chong'bing'tao'chong'bing
虫病血吸虫病,chong'bing'xue'xi'chong'bing
重订严氏济生方,chong'ding'yan'shi'ji'sheng'fang
虫毒结肤证,chong'du'jie'fu'zheng
虫毒结聚证,chong'du'jie'ju'zheng
虫臌病,chong'gu'bing
虫积肠道证,chong'ji'chang'dao'zheng
虫积化疳证,chong'ji'hua'gan'zheng
虫寄皮下证,chong'ji'pi'xia'zheng
虫积伤脾证,chong'ji'shang'pi'zheng
虫积证,chong'ji'zheng
虫结证,chong'jie'zheng
重楼,chong'lou
重楼七叶一枝花,chong'lou'qi'ye'yi'zhi'hua
虫侵于脑证,chong'qin'yu'nao'zheng
虫扰魄门证,chong'rao'po'men'zheng
虫扰于肠证,chong'rao'yu'chang'zheng
冲任不固,chong'ren'bu'gu
冲任不固证,chong'ren'bu'gu'zheng
冲任寒证,chong'ren'han'zheng
冲任热证,chong'ren're'zheng
冲任失调证,chong'ren'shi'tiao'zheng
冲任损伤,chong'ren'sun'shang
冲任虚衰证,chong'ren'xu'shuai'zheng
冲任瘀阻凝结证,chong'ren'yu'zu'ning'jie'zheng
冲任瘀阻证,chong'ren'yu'zu'zheng
虫湿壅络证,chong'shi'yong'luo'zheng
虫笋,chong'sun
虫痰互结证,chong'tan'hu'jie'zheng
冲铜,chong'tong
茺蔚子,chong'wei'zi
茺蔚子小胡麻,chong'wei'zi'xiao'hu'ma
虫邪犯肺证,chong'xie'fan'fei'zheng
抽搐,chou'chu
抽搐病,chou'chu'bing
臭秽不可瞻视,chou'hui'bu'ke'zhan'shi
臭灵丹草,chou'ling'dan'cao
臭梧桐根,chou'wu'tong'gen
臭梧桐叶,chou'wu'tong'ye
初发期,chu'fa'qi
初咳期,chu'ke'qi
处判针药,chu'pan'zhen'yao
初期,chu'qi
除去川芎五味联,chu'qu'chuan'xiong'wu'wei'lian
除却半夏名异功,chu'que'ban'xia'ming'yi'gong
除湿,chu'shi
楮实子,chu'shi'zi
怵惕,chu'ti
出血中风,chu'xie'zhong'feng
处以珍贵之药,chu'yi'zhen'gui'zhi'yao
出疹期,chu'zhen'qi
除中,chu'zhong
杵壮指,chu'zhuang'zhi
川柏,chuan'bai
川白芷,chuan'bai'zhi
川贝,chuan'bei
川贝母,chuan'bei'mu
传变,chuan'bian
喘病,chuan'bing
川栋子,chuan'dong'zi
川独活,chuan'du'huo
川断,chuan'duan
喘而无汗服之宜,chuan'er'wu'han'fu'zhi'yi
川谷,chuan'gu
川厚朴,chuan'hou'pu
传化,chuan'hua
传化糟粕,chuan'hua'zao'po
川黄连,chuan'huang'lian
喘急,chuan'ji
川椒,chuan'jiao
川槿皮,chuan'jin'pi
川军,chuan'jun
喘咳,chuan'ke
喘咳短气,chuan'ke'duan'qi
喘咳痰血肺家伤,chuan'ke'tan'xue'fei'jia'shang
喘咳证,chuan'ke'zheng
川连,chuan'lian
川楝子,chuan'lian'zi
喘满,chuan'man
川明参,chuan'ming'can
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿破石,chuan'po'shi
穿破石茄根,chuan'po'shi'qie'gen
川朴,chuan'pu
川羌,chuan'qiang
川山甲,chuan'shan'jia
穿山甲,chuan'shan'jia
穿山龙,chuan'shan'long
川射干,chuan'she'gan
川石斛,chuan'shi'hu
川桐皮,chuan'tong'pi
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
川芎茶调散,chuan'xiong'cha'tiao'san
川芎茶调散荆防,chuan'xiong'cha'tiao'san'jing'fang
川续断,chuan'xu'duan
川郁金,chuan'yu'jin
创伤病,chuang'shang'bing
疮疡,chuang'yang
疮疡疔毒,chuang'yang'ding'du
炊饼为丸白汤下,chui'bing'wei'wan'bai'tang'xia
垂盆草,chui'pen'cao
吹乳,chui'ru
唇暗,chun'an
唇风病,chun'feng'bing
椿根皮,chun'gen'pi
椿皮,chun'pi
椿皮椿根皮,chun'pi'chun'gen'pi
春温,chun'wen
春温病,chun'wen'bing
刺蒺藜,ci'ji'li
磁石,ci'shi
磁石煅,ci'shi'duan
磁石灵磁石,ci'shi'ling'ci'shi
此是阳郁成厥逆,ci'shi'yang'yu'cheng'jue'ni
刺猬皮,ci'wei'pi
刺五加,ci'wu'jia
此系胆虚痰上扰,ci'xi'dan'xu'tan'shang'rao
此医人之膏肓也,ci'yi'ren'zhi'gao'huang'ye
磁朱丸,ci'zhu'wan
葱白,cong'bai
葱白七味饮,cong'bai'qi'wei'yin
从化,cong'hua
苁蓉,cong'rong
腠理不固,cou'li'bu'gu
醋艾炭,cu'ai'tan
醋艾叶,cu'ai'ye
醋鳖甲,cu'bie'jia
醋柴胡,cu'chai'hu
醋甘遂,cu'gan'sui
醋龟甲,cu'gui'jia
醋三棱,cu'san'leng
醋商陆,cu'shang'lu
醋五味子,cu'wu'wei'zi
醋香附,cu'xiang'fu
醋延胡索,cu'yan'hu'suo
醋元胡,cu'yuan'hu
醋芫花,cu'yuan'hua
卒中,cu'zhong
寸口脉,cun'kou'mai
撮空,cuo'kong
撮口,cuo'kou
大贝母,da'bei'mu
大便不解,da'bian'bu'jie
大便不通,da'bian'bu'tong
大便干结,da'bian'gan'jie
大便秘结,da'bian'mi'jie
大便稀溏,da'bian'xi'tang
大便泄泻,da'bian'xie'xie
达表,da'biao
大病,da'bing
大补阴丸,da'bu'yin'wan
大茶药,da'cha'yao
大柴胡汤,da'chai'hu'tang
大柴胡汤用大黄,da'chai'hu'tang'yong'da'huang
大肠,da'chang
大肠寒,da'chang'han
大肠结热证,da'chang'jie're'zheng
大肠津亏证,da'chang'jin'kui'zheng
大肠热结,da'chang're'jie
大肠实,da'chang'shi
大肠湿热,da'chang'shi're
大肠湿热证,da'chang'shi're'zheng
大肠虚寒证,da'chang'xu'han'zheng
大肠主津,da'chang'zhu'jin
大承气汤,da'cheng'qi'tang
大承气汤用硝黄,da'cheng'qi'tang'yong'xiao'huang
大定风珠,da'ding'feng'zhu
大洞果,da'dong'guo
大豆黄卷,da'dou'huang'juan
大豆卷,da'dou'juan
大烦渴,da'fan'ke
