白环俞,bai'huan'shu
彧中穴,yu'zhong'xue
渊腋,yuan'ye
渊腋穴,yuan'ye'xue
云门,yun'men
云门穴,yun'men'xue
章门,zhang'men
章门穴,zhang'men'xue
照海,zhao'hai
照海穴,zhao'hai'xue
辄筋,zhe'jin
辄筋穴,zhe'jin'xue
正营,zheng'ying
正营穴,zheng'ying'xue
秩边,zhi'bian
秩边穴,zhi'bian'xue
支沟,zhi'gou
支沟穴,zhi'gou'xue
志室,zhi'shi
志室穴,zhi'shi'xue
至阳,zhi'yang
至阳穴,zhi'yang'xue
至阴,zhi'yin
至阴穴,zhi'yin'xue
支正,zhi'zheng
支正穴,zhi'zheng'xue
中冲,zhong'chong
中冲穴,zhong'chong'xue
中渎,zhong'du
中都,zhong'du
中渎穴,zhong'du'xue
中都穴,zhong'du'xue
中封,zhong'feng
中封穴,zhong'feng'xue
中府,zhong'fu
中府穴,zhong'fu'xue
中极,zhong'ji
中极穴,zhong'ji'xue
中髎,zhong'liao
中髎穴,zhong'liao'xue
中膂俞,zhong'lv'shu
中膂俞穴,zhong'lv'shu'xue
中枢,zhong'shu
中枢穴,zhong'shu'xue
中庭,zhong'ting
中庭穴,zhong'ting'xue
中脘,zhong'wan
中脘穴,zhong'wan'xue
中注,zhong'zhu
中渚,zhong'zhu
中注穴,zhong'zhu'xue
中渚穴,zhong'zhu'xue
肘髎,zhou'liao
肘髎穴,zhou'liao'xue
周荣,zhou'rong
周荣穴,zhou'rong'xue
筑宾,zhu'bin
筑宾穴,zhu'bin'xue
紫宫,zi'gong
紫宫穴,zi'gong'xue
足临泣,zu'lin'qi
足临泣穴,zu'lin'qi'xue
足窍阴,zu'qiao'yin
足窍阴穴,zu'qiao'yin'xue
足三里,zu'san'li
足三里穴,zu'san'li'xue
足通谷,zu'tong'gu
足通谷穴,zu'tong'gu'xue
足五里,zu'wu'li
足五里穴,zu'wu'li'xue
